projects
id,title,shortcut_title,summary,total_amount,price,thumbnail,pk_uri,target_amount,start_datetime,end_datetime,pay_end_date,settlement_date,introduction,budget_plan,category_id,user_id
1,블루 오션 팔찌,블루 오션 팔찌,친환경 소재로 제작한 바다의 빛을 담은 큐빅 팔찌,171000,57000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/jewellery1.webp,blueocean,500000,2022.07.06,2022.12.06,2022.12.17,2022.12.07,"금과 은, 보석을 채굴하는 과정에서 발생하는 노동을 줄이고, 탄소 중립을 위하여 재활용된 금과 은, 보석을 사용하여 지구 친화적이고 지속가능한 제품을 생산","원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",1,1
2,유니즌 실버 링,유니즌 실버 링,써지컬 스틸로 제작한 친환경 반지,600000,40000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/jewellery2.webp,unisonring,1000000,2022.07.05,2022.12.05,2022.12.16,2022.12.06,"Aircarbon은 획기적인 바이오 소재로, 온실가스의 공기와 탄소를 먹고사는 바닷속 천연 미생물로 만들어진다. 합성 플라스틱 및 동물 가죽과 같은 패브릭을 대체하는, 보다 지속가능한 대안이다.","원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",1,1
3,어스 네클리스,어스 네클리스,지구를 심볼로 한 친환경 소재의 네클리스,275000,25000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/jewellery3.jpeg,earth_necklace,500000,2022.07.04,2022.12.04,2022.12.15,2022.12.05,"금과 은, 보석을 채굴하는 과정에서 발생하는 노동을 줄이고, 탄소 중립을 위하여 재활용된 금과 은, 보석을 사용하여 지구 친화적이고 지속가능한 제품을 생산","원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",1,1
4,실버 러브 링,실버 러브 링,환경을 사랑하는 마음을 담은 실버 반지,400000,20000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/jewellery4.webp,lovering,500000,2022.07.03,2022.12.03,2022.12.14,2022.12.04,"Aircarbon은 획기적인 바이오 소재로, 온실가스의 공기와 탄소를 먹고사는 바닷속 천연 미생물로 만들어진다. 합성 플라스틱 및 동물 가죽과 같은 패브릭을 대체하는, 보다 지속가능한 대안이다.","원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",1,1
5,옐로우 에코 스탠다드 티셔츠,옐로우 에코 스탠다드 티셔츠,친환경 염료를 사용하여 제작한 스탠다드 티셔츠,360000,30000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/clothes1.jpeg,yellow_shirts,500000,2022.07.02,2022.12.02,2022.12.13,2022.12.03,"화학 비료를 사용하지 않은 목화에서 얻은 유기농 순면과 염색 가공 처리하지 않은 캐시미어를 사용하며, 1993년부터는 아웃도어 브랜드 최초로 플라스틱 병을 재활용한 소재를 사용. 올해는 전체 컬렉션의 29% 정도에 재활용 폴리에스테르 소재를 사용(파타고니아)","원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",2,1
6,화이트 에코 스탠다드 티셔츠,화이트 에코 스탠다드 티셔츠,친환경 염료를 사용하여 제작한 스탠다드 티셔츠,360000,30000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/clothes2.webp,white_shirts,500000,2022.07.01,2022.12.01,2022.12.12,2022.12.02,"지속가능한 소재의 목재 펄프 60%, 인증된 리사이클 플라스틱 40%으로 구성된 셀률로오스 실인 Naia™Renew로 제작되었습니다. 쓰레기 매립지로 보내지는 재활용하기 어려운 재료들을 가치 있는 무언가로 변신시키는 직물","원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",2,1
7,스트라이프 크루 삭스,스트라이프 크루 삭스,피부를 생각한 천연 소재의 양말,357000,17000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/clothes3.webp,stripesocks,500000,2022.06.30,2022.11.30,2022.12.11,2022.12.01,"화학 비료를 사용하지 않은 목화에서 얻은 유기농 순면과 염색 가공 처리하지 않은 캐시미어를 사용하며, 1993년부터는 아웃도어 브랜드 최초로 플라스틱 병을 재활용한 소재를 사용. 올해는 전체 컬렉션의 29% 정도에 재활용 폴리에스테르 소재를 사용(파타고니아)","원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",2,1
8,레드 볼캡,레드 볼캡,친환경 코튼 소재의 탁월한 방한 볼캡,840000,40000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/clothes4.webp,redballcap,1000000,2022.06.29,2022.11.29,2022.12.10,2022.11.30,"지속가능한 소재의 목재 펄프 60%, 인증된 리사이클 플라스틱 40%으로 구성된 셀률로오스 실인 Naia™Renew로 제작되었습니다. 쓰레기 매립지로 보내지는 재활용하기 어려운 재료들을 가치 있는 무언가로 변신시키는 직물","원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",2,1
9,리유저블 슈즈,리유저블 슈즈,쓰레기 속에서 탄생한 아름다움,350000,35000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/shoes1.jpg,reusableshoes,500000,2022.06.28,2022.11.28,2022.12.09,2022.11.29,플라스틱 폐기물을 없애기 위한 일라스틱의 도전과 혁신을 상징하는 팔리 오션 플라스틱 원사가 함유된 친환경 제품,"원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",3,2
10,선인장 가죽 구두,선인장 가죽 구두,선인장 비건 가죽을 사용해서 만든 지구 친화적 구두,720000,60000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/shoes2.jpg,cactusshoes,1000000,2022.06.27,2022.11.27,2022.12.08,2022.11.28,플라스틱 폐기물을 없애기 위한 일라스틱의 도전과 혁신을 상징하는 팔리 오션 플라스틱 원사가 함유된 친환경 제품,"원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",3,2
11,비건 레더 힐,비건 레더 힐,무너지지 않는 채식주의,650000,65000,https://greeneeds.s3.ap-northeast-2.amazonaws.com/img/shoes3.jpg,veganhill,1000000,2022.06.26,2022.11.26,2022.12.07,2022.11.27,플라스틱 폐기물을 없애기 위한 일라스틱의 도전과 혁신을 상징하는 팔리 오션 플라스틱 원사가 함유된 친환경 제품,"원단 구입,부자재 구입,생산 공임비,배송 인건비,운임비",3,2
